"id","draw_date","ball_1","ball_2","ball_3","ball_4","ball_5","ball_6","ball_7"
1,1982-06-12,3,11,12,14,41,43,13
2,1982-06-19,8,33,36,37,39,41,9
3,1982-06-26,1,6,23,24,27,39,34
4,1982-07-03,3,9,10,13,20,43,34
5,1982-07-10,5,14,21,31,34,47,45
6,1982-07-17,8,20,21,25,31,41,33
7,1982-07-24,18,25,28,33,36,42,7
8,1982-07-31,7,16,17,31,40,48,26
9,1982-08-07,5,10,23,27,37,38,33
10,1982-08-14,4,15,30,37,46,48,3
11,1982-08-21,7,9,21,33,38,42,45
12,1982-08-28,11,17,19,20,36,43,9
13,1982-09-04,7,14,17,20,37,47,34
14,1982-09-11,25,28,29,30,35,44,3
15,1982-09-18,8,18,36,39,41,47,31
16,1982-09-25,9,12,13,14,44,48,18
17,1982-10-02,4,14,18,40,43,44,5
18,1982-10-09,13,16,18,34,35,36,26
19,1982-10-16,11,23,25,28,29,36,27
20,1982-10-23,7,18,23,25,37,45,39
21,1982-10-30,11,18,19,31,37,45,41
22,1982-11-06,8,14,16,18,31,48,45
23,1982-11-13,4,11,23,24,25,45,41
24,1982-11-20,3,4,19,33,34,48,39
25,1982-11-27,5,17,21,28,30,43,36
26,1982-12-04,6,17,24,36,38,46,29
27,1982-12-11,4,9,10,11,43,46,3
28,1982-12-18,7,13,23,32,33,45,36
29,1982-12-25,11,18,22,28,35,37,42
30,1983-01-01,25,26,31,35,45,48,12
31,1983-01-08,11,19,25,31,32,36,44
32,1983-01-15,8,34,37,39,41,47,18
33,1983-01-22,5,10,30,35,36,45,13
34,1983-01-29,8,22,26,27,34,42,14
35,1983-02-05,3,5,6,33,38,39,8
36,1983-02-12,10,14,25,31,44,47,17
37,1983-02-19,11,13,15,16,24,31,9
38,1983-02-26,11,12,19,25,29,44,48
39,1983-03-05,2,7,21,22,30,33,3
40,1983-03-12,11,15,25,38,41,43,37
41,1983-03-19,2,10,11,31,43,49,29
42,1983-03-26,21,24,25,32,39,49,40
43,1983-04-02,4,10,23,38,41,46,43
44,1983-04-09,20,24,28,35,42,46,27
45,1983-04-16,1,3,19,31,32,47,37
46,1983-04-23,3,17,20,30,35,48,26
47,1983-04-30,18,26,29,35,36,49,25
48,1983-05-07,2,13,41,42,44,47,12
49,1983-05-14,7,10,11,16,28,40,6
50,1983-05-21,6,7,10,32,36,38,46
51,1983-05-28,2,29,31,40,45,48,41
52,1983-06-04,4,14,24,31,33,35,29
53,1983-06-11,7,19,26,28,45,49,34
54,1983-06-18,9,19,28,36,45,46,3
55,1983-06-25,4,11,14,20,26,30,39
56,1983-07-02,5,9,27,39,40,43,17
57,1983-07-09,16,19,22,29,44,48,31
58,1983-07-16,11,14,18,31,35,49,42
59,1983-07-23,22,23,25,26,35,41,39
60,1983-07-30,3,6,7,33,34,36,15
61,1983-08-06,9,11,27,28,37,46,29
62,1983-08-13,1,2,8,23,46,48,20
63,1983-08-20,9,12,20,21,37,43,49
64,1983-08-27,9,16,18,20,26,43,38
65,1983-09-03,1,6,13,15,22,27,10
66,1983-09-10,23,30,32,33,35,44,2
67,1983-09-17,9,21,22,29,48,49,28
68,1983-09-24,1,6,15,34,42,44,49
69,1983-10-01,1,15,20,22,24,49,40
70,1983-10-08,13,23,37,43,48,49,27
71,1983-10-15,2,3,23,26,27,40,4
72,1983-10-22,8,14,25,32,34,35,16
73,1983-10-29,1,5,7,8,11,13,3
74,1983-11-05,18,20,23,26,33,49,31
75,1983-11-12,1,2,7,13,22,31,5
76,1983-11-19,4,14,16,30,33,38,22
77,1983-11-26,3,12,16,21,33,49,44
78,1983-12-03,3,5,19,26,32,43,30
79,1983-12-10,1,14,22,25,40,42,19
80,1983-12-17,7,9,20,28,35,41,16
81,1983-12-24,1,2,13,21,42,48,7
82,1983-12-31,7,22,25,27,30,35,45
83,1984-01-07,1,7,14,31,41,43,12
84,1984-01-14,2,12,29,31,44,46,40
85,1984-01-21,1,5,14,24,25,38,27
86,1984-01-28,15,24,27,32,34,49,25
87,1984-02-04,20,26,28,30,45,48,25
88,1984-02-11,22,29,36,44,46,47,24
89,1984-02-18,4,12,16,31,44,48,41
90,1984-02-25,23,27,40,43,44,47,33
91,1984-03-03,13,26,27,38,46,47,6
92,1984-03-10,2,17,41,42,44,47,29
93,1984-03-17,6,26,28,36,37,48,23
94,1984-03-24,8,27,28,29,43,44,15
95,1984-03-31,12,19,22,23,29,36,25
96,1984-04-07,13,27,35,38,44,47,21
97,1984-04-14,3,12,31,33,45,49,6
98,1984-04-21,8,13,16,18,19,49,11
99,1984-04-28,16,24,25,28,32,44,2
100,1984-05-05,1,5,6,18,31,35,3
101,1984-05-12,6,16,19,20,25,43,40
102,1984-05-19,1,4,14,17,21,26,31
103,1984-05-26,1,3,40,43,45,46,7
104,1984-06-02,9,16,31,38,43,45,5
105,1984-06-09,6,17,29,32,39,40,47
106,1984-06-16,26,27,37,41,43,45,13
107,1984-06-23,7,16,28,34,45,47,23
108,1984-06-30,13,15,27,28,40,48,30
109,1984-07-07,6,11,20,23,25,35,37
110,1984-07-14,6,16,26,28,41,49,34
111,1984-07-21,2,7,34,36,37,40,15
112,1984-07-28,2,5,29,35,37,38,39
113,1984-08-04,1,10,18,27,35,38,30
114,1984-08-11,5,6,10,20,40,43,26
115,1984-08-18,12,13,15,35,38,39,4
116,1984-08-25,5,11,12,16,24,28,34
117,1984-09-01,3,24,27,33,41,44,4
118,1984-09-08,23,25,29,38,39,43,17
119,1984-09-15,7,8,10,15,31,37,43
120,1984-09-22,4,11,12,16,36,43,30
121,1984-09-29,21,22,29,36,38,41,20
122,1984-10-06,5,10,26,31,37,44,7
123,1984-10-13,3,14,24,31,35,46,17
124,1984-10-20,5,10,11,28,41,44,19
125,1984-10-27,1,16,25,36,39,42,5
126,1984-11-03,6,7,17,21,43,49,8
127,1984-11-10,20,22,27,34,44,48,41
128,1984-11-17,8,35,44,46,48,49,22
129,1984-11-24,5,30,34,36,43,49,17
130,1984-12-01,3,14,18,25,36,45,30
131,1984-12-08,7,13,24,31,39,40,8
132,1984-12-15,9,12,16,20,36,39,4
133,1984-12-22,6,18,21,31,35,48,9
134,1984-12-29,16,19,27,30,44,45,11
135,1985-01-05,7,17,18,24,29,48,34
136,1985-01-12,9,34,38,39,43,44,1
137,1985-01-19,7,24,35,37,45,47,23
138,1985-01-26,6,30,33,39,41,49,47
139,1985-02-02,5,18,22,23,25,26,2
140,1985-02-09,2,5,21,24,29,46,25
141,1985-02-16,3,7,15,24,38,41,29
142,1985-02-23,1,2,7,9,20,43,33
143,1985-03-02,17,19,27,30,36,43,1
144,1985-03-09,6,7,8,35,36,43,33
145,1985-03-16,3,6,18,21,33,34,49
146,1985-03-23,14,23,31,33,35,47,18
147,1985-03-30,8,16,20,30,31,48,12
148,1985-04-06,8,21,27,34,41,46,31
149,1985-04-13,7,20,24,46,48,49,41
150,1985-04-20,4,8,14,21,30,49,13
151,1985-04-27,4,14,27,37,40,44,46
152,1985-05-04,1,2,5,7,40,44,35
153,1985-05-11,6,15,20,22,26,46,21
154,1985-05-18,19,21,32,39,43,45,20
155,1985-05-25,9,12,24,30,31,47,39
156,1985-06-01,13,16,19,24,33,48,17
157,1985-06-08,9,11,19,27,30,46,12
158,1985-06-15,4,21,23,27,45,47,14
159,1985-06-22,1,7,15,20,31,45,22
160,1985-06-29,2,10,39,46,47,48,35
161,1985-07-06,5,24,26,36,41,45,35
162,1985-07-13,4,5,10,22,30,35,18
163,1985-07-20,7,9,11,16,43,46,34
164,1985-07-27,3,8,21,24,30,42,19
165,1985-08-03,2,8,9,18,31,42,32
166,1985-08-10,7,11,14,18,34,45,44
167,1985-08-17,4,21,32,38,43,45,41
168,1985-08-24,6,19,22,27,36,40,3
169,1985-08-31,3,9,13,15,27,30,42
170,1985-09-07,30,32,35,40,43,44,23
171,1985-09-11,4,9,14,15,44,45,32
172,1985-09-14,11,23,43,46,47,49,1
173,1985-09-18,8,12,19,33,41,45,24
174,1985-09-21,3,11,16,20,21,24,44
175,1985-09-25,5,9,12,33,45,47,32
176,1985-09-28,7,9,21,28,29,35,10
177,1985-10-02,1,26,33,34,38,46,31
178,1985-10-05,4,6,22,27,31,33,45
179,1985-10-09,7,8,11,19,25,39,3
180,1985-10-12,3,6,13,18,31,40,10
181,1985-10-16,1,3,8,18,35,47,30
182,1985-10-19,22,27,30,39,41,44,38
183,1985-10-23,1,6,11,27,33,41,9
184,1985-10-26,16,26,32,35,43,46,40
185,1985-10-30,19,24,32,36,38,41,47
186,1985-11-02,11,19,25,26,36,45,6
187,1985-11-06,16,20,26,34,38,47,27
188,1985-11-09,9,11,13,29,36,45,12
189,1985-11-13,5,9,23,28,40,46,49
190,1985-11-16,4,13,18,23,24,40,45
191,1985-11-20,31,32,36,38,39,44,20
192,1985-11-23,2,7,12,27,29,44,21
193,1985-11-27,19,24,26,34,41,43,27
194,1985-11-30,4,17,19,25,32,39,2
195,1985-12-04,4,5,20,29,31,47,1
196,1985-12-07,4,26,29,34,39,40,18
197,1985-12-11,9,19,20,32,33,37,39
198,1985-12-14,9,10,17,21,38,48,30
199,1985-12-18,1,7,19,36,42,49,45
200,1985-12-21,6,9,14,26,36,46,42
201,1985-12-25,1,7,11,14,19,38,32
202,1985-12-28,17,21,22,25,39,47,44
203,1986-01-01,3,6,18,31,38,49,42
204,1986-01-04,6,20,23,29,32,37,18
205,1986-01-08,9,10,12,18,32,48,31
206,1986-01-11,4,12,21,40,42,45,2
207,1986-01-15,1,10,13,19,25,33,45
208,1986-01-18,11,17,23,26,30,34,4
209,1986-01-22,2,19,26,27,44,47,8
210,1986-01-25,24,26,29,40,44,46,16
211,1986-01-29,3,9,11,37,45,46,6
212,1986-02-01,4,5,9,19,29,31,45
213,1986-02-05,6,26,29,31,32,41,36
214,1986-02-08,2,5,7,36,38,42,32
215,1986-02-12,1,12,15,19,22,30,36
216,1986-02-15,20,22,30,43,46,48,44
217,1986-02-19,5,17,23,35,45,48,39
218,1986-02-22,9,16,19,25,34,36,23
219,1986-02-26,11,15,26,33,40,49,38
220,1986-03-01,7,12,13,14,35,43,20
221,1986-03-05,1,7,17,28,41,45,39
222,1986-03-08,7,24,28,31,37,43,41
223,1986-03-12,9,10,20,22,41,42,23
224,1986-03-15,8,9,34,41,44,47,21
225,1986-03-19,19,25,34,40,42,46,18
226,1986-03-22,5,8,17,20,21,42,44
227,1986-03-26,2,4,25,28,38,46,9
228,1986-03-29,15,22,28,29,42,46,36
229,1986-04-02,5,10,17,21,31,36,40
230,1986-04-05,18,29,32,34,35,46,2
231,1986-04-09,5,19,22,30,39,45,48
232,1986-04-12,17,18,23,32,36,39,10
233,1986-04-16,9,28,29,32,41,49,33
234,1986-04-19,7,17,26,28,42,48,43
235,1986-04-23,4,5,7,25,38,42,43
236,1986-04-26,8,10,24,27,35,43,22
237,1986-04-30,2,9,13,18,20,29,42
238,1986-05-03,12,18,30,38,39,47,6
239,1986-05-07,9,16,22,40,42,47,15
240,1986-05-10,4,10,17,26,39,47,19
241,1986-05-14,8,16,19,26,33,45,10
242,1986-05-17,1,25,34,41,44,49,37
243,1986-05-21,20,25,36,39,43,45,26
244,1986-05-24,2,21,26,28,41,49,5
245,1986-05-28,3,18,21,31,34,37,48
246,1986-05-31,8,16,17,37,40,41,19
247,1986-06-04,3,4,5,14,17,31,37
248,1986-06-07,3,16,21,41,45,46,49
249,1986-06-11,5,14,24,27,36,43,26
250,1986-06-14,3,21,29,37,40,47,30
251,1986-06-18,2,14,18,28,32,43,31
252,1986-06-21,1,8,10,34,42,45,14
253,1986-06-25,1,5,15,33,35,47,24
254,1986-06-28,1,4,20,33,34,37,38
255,1986-07-02,5,16,18,31,46,49,42
256,1986-07-05,7,10,12,32,44,48,21
257,1986-07-09,16,24,25,36,44,45,18
258,1986-07-12,7,17,20,30,33,43,39
259,1986-07-16,7,17,29,31,38,47,27
260,1986-07-19,7,25,28,32,37,43,16
261,1986-07-23,3,13,17,24,32,35,47
262,1986-07-26,3,14,29,34,46,49,48
263,1986-07-30,3,26,39,44,48,49,13
264,1986-08-02,8,14,21,24,38,47,23
265,1986-08-06,1,5,7,10,23,40,47
266,1986-08-09,5,8,14,21,33,34,10
267,1986-08-13,4,5,34,35,40,43,15
268,1986-08-16,14,25,35,40,41,43,12
269,1986-08-20,6,7,9,21,38,43,45
270,1986-08-23,1,4,19,31,45,47,36
271,1986-08-27,7,11,18,33,38,40,32
272,1986-08-30,4,11,25,32,45,46,10
273,1986-09-03,20,27,41,44,47,49,34
274,1986-09-06,8,9,19,35,39,48,20
275,1986-09-10,3,13,18,22,42,43,46
276,1986-09-13,10,14,16,43,44,49,29
277,1986-09-17,9,21,30,32,39,41,27
278,1986-09-20,8,9,11,15,19,25,10
279,1986-09-24,2,12,38,40,42,48,45
280,1986-09-27,4,5,11,19,34,38,27
281,1986-10-01,2,17,24,30,34,39,18
282,1986-10-04,8,14,16,24,26,38,21
283,1986-10-08,3,17,20,22,24,49,25
284,1986-10-11,7,12,26,33,37,48,21
285,1986-10-15,10,21,24,25,39,49,23
286,1986-10-18,8,29,32,39,43,45,49
287,1986-10-22,3,16,34,36,45,48,13
288,1986-10-25,1,3,16,41,42,46,31
289,1986-10-29,13,17,21,22,24,46,27
290,1986-11-01,19,22,24,36,38,41,33
291,1986-11-05,23,25,26,27,38,46,4
292,1986-11-08,2,3,6,11,31,42,1
293,1986-11-12,1,17,26,33,36,43,30
294,1986-11-15,4,23,24,34,39,47,45
295,1986-11-19,2,7,8,22,34,47,3
296,1986-11-22,5,13,18,32,34,39,21
297,1986-11-26,14,20,22,26,35,44,40
298,1986-11-29,2,4,6,21,27,42,17
299,1986-12-03,4,15,25,31,33,47,26
300,1986-12-06,6,8,24,37,45,48,11
301,1986-12-10,14,23,25,30,33,35,17
302,1986-12-13,3,6,7,14,27,43,33
303,1986-12-17,16,21,25,35,37,40,44
304,1986-12-20,7,14,16,34,46,48,49
305,1986-12-24,1,10,19,24,37,41,48
306,1986-12-27,3,15,16,20,26,34,32
307,1986-12-31,8,11,16,20,27,44,36
308,1987-01-03,3,11,16,23,47,49,25
309,1987-01-07,1,3,29,35,37,47,45
310,1987-01-10,7,9,17,18,26,35,46
311,1987-01-14,4,21,23,33,34,36,31
312,1987-01-17,7,15,16,18,31,44,46
313,1987-01-21,2,11,19,34,42,44,49
314,1987-01-24,12,16,20,27,41,42,37
315,1987-01-28,15,18,27,44,46,47,33
316,1987-01-31,6,12,15,24,36,49,48
