"drawn_number","ball_1","ball_2","ball_3","ball_4","ball_5","ball_6","ball_7"
1,473,0,0,0,0,0,75
2,439,50,0,0,0,0,73
3,402,106,4,0,0,0,99
4,389,114,8,2,0,0,68
5,294,173,18,0,0,0,106
6,273,170,43,1,0,0,66
7,252,202,62,5,0,0,82
8,205,217,66,11,0,0,84
9,217,202,80,15,0,0,97
10,176,220,92,22,0,0,85
11,161,183,104,34,2,0,91
12,136,212,117,32,3,0,81
13,114,207,128,29,6,1,88
14,82,195,123,45,11,0,79
15,80,198,154,49,6,0,61
16,81,176,155,67,7,1,84
17,56,185,163,65,16,0,86
18,56,143,172,90,13,1,93
19,43,146,190,95,28,4,76
20,46,143,179,123,31,5,75
21,33,135,198,111,39,5,101
22,24,106,198,126,45,1,87
23,31,97,188,156,44,8,88
24,13,92,175,139,70,7,83
25,10,73,177,152,63,8,99
26,12,71,151,172,78,15,87
27,11,55,143,188,106,22,94
28,5,50,129,167,98,25,83
29,5,49,135,172,103,30,70
30,6,41,113,183,123,29,84
31,2,29,111,213,157,43,85
32,1,29,102,177,146,44,80
33,1,14,87,187,157,56,78
34,0,14,82,193,206,55,90
35,0,13,57,155,191,85,74
36,0,5,65,164,185,94,91
37,0,4,45,141,217,95,85
38,1,2,35,138,236,117,82
39,0,3,21,115,205,140,91
40,0,3,26,117,226,172,76
41,0,1,18,87,232,178,97
42,0,1,8,63,208,221,92
43,0,1,5,52,203,271,86
44,0,0,2,33,180,296,79
45,0,0,1,25,184,352,84
46,0,0,0,14,156,358,75
47,0,0,0,5,92,430,91
48,0,0,0,0,57,445,87
49,0,0,0,0,0,516,82
