"drawn_number","wed","sat"
1,276,272
2,278,284
3,312,299
4,288,293
5,285,306
6,254,299
7,289,314
8,272,311
9,291,320
10,304,291
11,255,320
12,279,302
13,266,307
14,253,282
15,276,272
16,274,297
17,279,292
18,259,309
19,300,282
20,296,306
21,278,344
22,291,296
23,286,326
24,287,292
25,289,293
26,267,319
27,273,346
28,264,293
29,276,288
30,283,296
31,298,342
32,279,300
33,274,306
34,319,321
35,264,311
36,284,320
37,285,302
38,293,318
39,275,300
40,302,318
41,280,333
42,299,294
43,298,320
44,276,314
45,286,360
46,297,306
47,305,313
48,286,303
49,273,325
