"drawn_number","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
1,56,36,42,41,51,46,45,46,45,50,36,54
2,46,38,52,41,46,43,57,44,52,42,54,47
3,48,42,57,48,54,52,49,56,53,57,52,43
4,44,48,41,43,48,49,44,56,56,45,58,49
5,57,53,47,42,56,54,54,42,52,41,50,44
6,56,45,49,46,47,40,35,50,48,43,48,46
7,53,42,58,37,52,50,59,57,49,39,48,59
8,52,45,45,49,45,49,56,45,48,60,45,45
9,51,45,62,50,52,44,41,62,53,53,50,49
10,52,42,46,61,40,60,61,46,55,48,32,53
11,46,53,49,64,39,44,45,47,50,45,35,58
12,49,46,60,55,53,41,49,49,46,41,41,51
13,48,46,45,36,45,46,47,54,56,57,55,38
14,43,44,41,35,41,54,46,49,40,55,43,45
15,40,46,46,40,44,51,45,42,67,47,38,42
16,39,58,50,46,47,44,53,52,31,49,51,51
17,47,50,48,45,45,42,48,45,51,52,42,56
18,43,42,42,54,45,38,39,50,54,54,51,58
19,48,33,54,56,45,49,50,60,44,44,48,51
20,48,46,43,55,46,55,47,50,50,57,58,47
21,48,51,48,44,64,53,54,60,62,39,54,45
22,46,48,54,43,50,52,53,49,45,51,38,58
23,56,45,43,50,51,46,54,55,46,56,58,52
24,47,46,48,51,47,53,37,47,45,63,48,47
25,51,52,44,47,49,42,59,50,32,58,50,48
26,50,52,47,41,47,47,62,43,39,54,53,51
27,47,43,54,61,52,55,47,52,56,47,43,62
28,44,51,63,51,55,34,44,51,36,39,49,40
29,43,46,40,54,43,43,48,51,59,48,42,48
30,59,44,55,47,54,43,49,48,42,37,46,55
31,46,54,50,42,55,59,62,51,52,53,59,57
32,37,38,39,53,51,65,41,60,53,57,38,48
33,48,40,53,45,40,58,50,45,50,51,49,52
34,61,42,59,54,63,58,45,51,43,59,47,58
35,55,42,47,55,44,38,58,44,50,48,46,48
36,55,47,53,52,51,49,49,56,46,49,47,50
37,58,45,44,35,58,51,56,52,44,48,52,45
38,44,47,53,50,53,48,61,61,47,54,43,51
39,53,45,31,48,50,46,57,50,57,49,46,43
40,55,41,48,56,50,57,56,52,47,67,44,48
41,57,52,66,50,35,53,51,49,58,47,49,46
42,45,39,50,50,49,41,54,45,56,54,59,52
43,48,58,61,44,52,49,55,59,44,45,60,43
44,64,43,50,47,52,43,51,45,39,59,46,51
45,52,42,54,54,62,58,50,50,53,57,59,55
46,54,41,64,53,50,54,56,52,50,49,41,39
47,58,55,53,44,51,59,52,53,45,44,54,50
48,46,42,49,55,53,53,48,48,44,41,53,57
49,50,35,46,60,57,36,56,47,54,55,58,44
