9th September 2023	8	17	20	26	42	44	3
6th September 2023	3	10	31	38	39	41	34
2nd September 2023	12	13	30	33	35	43	17
30th August 2023	3	16	22	25	27	46	19
26th August 2023	6	10	11	22	32	43	27
23rd August 2023	3	13	14	19	26	36	25
19th August 2023	22	23	25	35	36	41	21
16th August 2023	2	3	6	7	17	27	24
12th August 2023	2	5	7	12	31	44	29
9th August 2023	17	35	37	40	45	47	44
5th August 2023	1	5	10	20	28	39	26
2nd August 2023	4	7	9	25	34	48	42
29th July 2023	2	7	8	18	33	36	14
26th July 2023	10	19	20	30	38	45	7
22nd July 2023	3	7	8	25	35	48	32
19th July 2023	15	25	30	31	40	48	22
15th July 2023	17	24	31	32	35	47	20
12th July 2023	9	18	22	23	28	46	11
8th July 2023	10	11	23	30	44	49	6
5th July 2023	3	4	10	12	30	34	14
1st July 2023	10	21	30	32	35	49	41
28th June 2023	8	13	16	40	42	47	22
24th June 2023	5	7	15	18	21	29	17
21st June 2023	4	5	13	14	33	35	8
17th June 2023	16	31	42	44	45	48	15
14th June 2023	12	18	22	24	25	47	21
10th June 2023	14	23	26	31	32	42	25
7th June 2023	1	15	19	24	32	44	31
3rd June 2023	22	31	33	34	43	49	21
31st May 2023	9	22	23	25	30	37	48
27th May 2023	11	20	26	38	44	45	41
24th May 2023	3	7	37	43	45	46	31
20th May 2023	4	6	23	27	41	48	28
17th May 2023	16	25	28	40	47	49	7
13th May 2023	13	14	27	29	31	42	45
10th May 2023	27	34	36	41	44	47	38
6th May 2023	3	19	23	30	37	42	1
3rd May 2023	7	15	21	34	46	48	16
29th April 2023	6	11	28	29	39	43	34
26th April 2023	5	9	25	29	39	48	22
22nd April 2023	4	8	21	38	46	49	36
19th April 2023	1	6	13	17	43	44	28
15th April 2023	1	20	30	35	36	44	48
12th April 2023	9	10	19	23	32	37	46
8th April 2023	8	13	16	27	31	46	41
5th April 2023	10	17	21	22	41	42	3
1st April 2023	5	11	23	31	45	49	6
29th March 2023	9	10	12	17	30	45	44
25th March 2023	11	12	13	16	22	28	27
22nd March 2023	2	7	9	11	39	41	48
18th March 2023	4	7	8	15	34	45	1
15th March 2023	4	9	26	27	28	33	30
11th March 2023	6	13	21	29	33	49	22
8th March 2023	6	9	25	34	36	43	38
4th March 2023	3	9	19	22	37	43	27
1st March 2023	3	8	10	14	34	35	44
25th February 2023	2	23	24	25	39	40	21
22nd February 2023	3	19	24	25	27	43	34
18th February 2023	3	5	7	10	26	39	22
15th February 2023	1	3	8	37	41	43	16
11th February 2023	4	17	21	27	32	42	30
8th February 2023	6	12	19	24	38	47	27
4th February 2023	11	13	29	31	42	47	17
1st February 2023	8	22	23	24	34	38	41
28th January 2023	5	12	15	26	46	48	17
25th January 2023	5	13	24	33	35	41	43
21st January 2023	8	11	27	35	38	45	48
18th January 2023	6	13	25	31	41	47	46
14th January 2023	1	10	11	13	29	37	47
11th January 2023	13	17	22	30	31	47	7
7th January 2023	5	6	14	16	45	48	18
4th January 2023	4	17	21	22	31	38	46
31st December 2022	2	5	7	11	15	21	25
28th December 2022	2	10	16	17	24	26	18
24th December 2022	10	11	21	22	24	30	32
21st December 2022	29	34	37	38	42	49	41
17th December 2022	11	18	20	23	29	42	6
14th December 2022	9	21	34	37	41	44	24
10th December 2022	10	14	20	35	37	40	48
7th December 2022	22	23	38	41	44	48	8
3rd December 2022	4	18	26	36	41	42	32
30th November 2022	4	11	16	19	27	35	25
26th November 2022	18	26	32	37	42	43	10
23rd November 2022	3	14	19	20	28	47	37
19th November 2022	12	16	21	32	38	45	15
16th November 2022	4	6	12	20	41	44	31
12th November 2022	1	20	24	32	36	37	5
9th November 2022	21	23	30	34	41	49	13
5th November 2022	2	20	31	40	48	49	44
2nd November 2022	19	25	38	40	47	48	20
29th October 2022	9	13	20	26	28	40	44
26th October 2022	10	15	23	38	39	45	37
22nd October 2022	2	17	24	36	40	49	30
19th October 2022	4	15	30	35	42	43	24
15th October 2022	7	9	12	33	35	36	6
12th October 2022	8	10	25	36	38	41	42
8th October 2022	1	5	21	35	37	41	6
5th October 2022	3	6	10	19	28	31	2
1st October 2022	4	19	21	24	25	36	9
28th September 2022	7	10	11	24	32	40	25
24th September 2022	10	13	21	37	40	41	48
21st September 2022	1	26	33	37	44	49	31
17th September 2022	3	9	15	21	33	49	13
14th September 2022	7	8	14	22	23	39	11
10th September 2022	11	15	19	29	41	49	38
7th September 2022	11	12	13	16	29	35	7
3rd September 2022	5	8	13	21	22	46	9
31st August 2022	9	18	25	33	35	41	19
27th August 2022	9	12	19	20	23	28	31
24th August 2022	9	15	22	24	26	41	16
20th August 2022	1	5	11	29	40	49	22
17th August 2022	6	7	13	30	31	43	20
13th August 2022	5	8	13	35	37	40	3
10th August 2022	8	9	36	38	44	45	29
6th August 2022	10	18	21	31	34	48	9
3rd August 2022	10	15	24	27	42	46	36
30th July 2022	9	21	22	27	35	47	31
27th July 2022	6	19	29	42	45	49	21
23rd July 2022	6	23	24	26	39	42	21
20th July 2022	1	15	17	25	26	40	39
16th July 2022	8	19	23	34	37	44	21
13th July 2022	13	18	19	21	35	40	29
9th July 2022	8	12	21	33	34	45	23
6th July 2022	25	33	34	35	37	46	30
2nd July 2022	1	4	7	33	36	47	2
29th June 2022	6	7	16	26	31	35	13
25th June 2022	9	14	23	36	38	44	19
22nd June 2022	7	10	11	18	27	42	25
18th June 2022	4	6	20	21	24	44	5
15th June 2022	3	5	9	12	16	29	32
11th June 2022	14	15	22	25	32	44	45
8th June 2022	6	22	32	39	40	46	26
4th June 2022	14	24	32	36	37	48	17
1st June 2022	1	15	16	19	44	48	5
28th May 2022	6	13	15	29	45	48	1
25th May 2022	14	15	22	35	36	47	10
21st May 2022	4	5	26	33	35	44	30
18th May 2022	14	22	24	28	42	48	23
14th May 2022	2	14	21	27	34	49	5
11th May 2022	5	10	12	34	36	48	27
7th May 2022	7	12	21	28	40	46	34
4th May 2022	4	21	22	36	41	43	31
30th April 2022	9	11	14	16	20	43	32
27th April 2022	6	26	29	32	33	41	2
23rd April 2022	17	19	27	39	44	49	2
20th April 2022	6	10	13	17	21	37	34
16th April 2022	7	13	26	35	36	38	40
13th April 2022	9	27	31	33	45	49	20
9th April 2022	12	28	34	41	46	49	2
6th April 2022	2	8	9	16	39	49	21
2nd April 2022	5	12	15	29	42	44	38
30th March 2022	3	7	15	21	35	40	37
26th March 2022	5	11	21	22	38	45	44
23rd March 2022	8	11	12	23	29	36	49
19th March 2022	4	7	26	36	42	47	32
16th March 2022	1	3	8	14	15	16	33
12th March 2022	3	8	20	24	37	47	31
9th March 2022	16	25	31	34	40	42	15
5th March 2022	5	9	10	32	38	40	44
2nd March 2022	11	12	39	41	42	49	14
26th February 2022	6	8	12	16	24	35	25
23rd February 2022	4	10	28	31	33	43	18
19th February 2022	4	16	30	32	37	44	35
16th February 2022	2	8	30	31	40	44	11
12th February 2022	1	25	26	37	40	43	3
9th February 2022	12	14	19	28	32	36	17
5th February 2022	2	9	12	14	23	24	10
2nd February 2022	3	7	9	23	26	32	42
29th January 2022	10	14	25	29	33	44	40
26th January 2022	5	22	25	30	32	46	45
22nd January 2022	7	12	27	31	37	44	35
