"id","draw_date","repeated_nums","repeated_balls","total_repeated"
1,1982-06-12,{41},{5},1
2,1982-06-19,{39},{5},1
3,1982-06-26,{},{},0
4,1982-07-03,{},{},0
5,1982-07-10,"{21,31}","{3,4}",2
6,1982-07-17,{25},{4},1
7,1982-07-24,{},{},0
8,1982-07-31,{},{},0
9,1982-08-07,{37},{5},1
10,1982-08-14,{},{},0
11,1982-08-21,{9},{2},1
12,1982-08-28,"{17,20}","{2,4}",2
13,1982-09-04,{},{},0
14,1982-09-11,{},{},0
15,1982-09-18,{18},{2},1
16,1982-09-25,"{14,44}","{4,5}",2
17,1982-10-02,{18},{3},1
18,1982-10-09,{36},{6},1
19,1982-10-16,"{23,25}","{2,3}",2
20,1982-10-23,"{18,37,45}","{2,5,6}",3
21,1982-10-30,"{18,31,45}","{2,4,6}",3
22,1982-11-06,{},{},0
23,1982-11-13,{4},{1},1
24,1982-11-20,{},{},0
25,1982-11-27,{17},{2},1
26,1982-12-04,{46},{6},1
27,1982-12-11,{},{},0
28,1982-12-18,{},{},0
29,1982-12-25,{35},{5},1
30,1983-01-01,"{25,31}","{1,3}",2
31,1983-01-08,{},{},0
32,1983-01-15,{},{},0
33,1983-01-22,{},{},0
34,1983-01-29,{8},{1},1
35,1983-02-05,{},{},0
36,1983-02-12,{31},{4},1
37,1983-02-19,{11},{1},1
38,1983-02-26,{},{},0
39,1983-03-05,{},{},0
40,1983-03-12,"{11,43}","{1,6}",2
41,1983-03-19,{49},{6},1
42,1983-03-26,{},{},0
43,1983-04-02,{46},{6},1
44,1983-04-09,{},{},0
45,1983-04-16,{3},{2},1
46,1983-04-23,{35},{5},1
47,1983-04-30,{},{},0
48,1983-05-07,{},{},0
49,1983-05-14,"{7,10}","{1,2}",2
50,1983-05-21,{},{},0
51,1983-05-28,"{29,31}","{2,3}",2
52,1983-06-04,{},{},0
53,1983-06-11,"{19,28,45}","{2,4,5}",3
54,1983-06-18,{},{},0
55,1983-06-25,{},{},0
56,1983-07-02,{},{},0
57,1983-07-09,{},{},0
58,1983-07-16,{35},{5},1
59,1983-07-23,{},{},0
60,1983-07-30,{},{},0
61,1983-08-06,{46},{6},1
62,1983-08-13,{},{},0
63,1983-08-20,"{9,20,43}","{1,3,6}",3
64,1983-08-27,{},{},0
65,1983-09-03,{},{},0
66,1983-09-10,{},{},0
67,1983-09-17,{49},{6},1
68,1983-09-24,"{1,15}","{1,3}",2
69,1983-10-01,{49},{6},1
70,1983-10-08,{23},{2},1
71,1983-10-15,{},{},0
72,1983-10-22,{8},{1},1
73,1983-10-29,{},{},0
74,1983-11-05,{},{},0
75,1983-11-12,{22},{5},1
76,1983-11-19,"{16,33}","{3,5}",2
77,1983-11-26,{3},{1},1
78,1983-12-03,{19},{3},1
79,1983-12-10,{},{},0
80,1983-12-17,{7},{1},1
81,1983-12-24,{},{},0
82,1983-12-31,{7},{1},1
83,1984-01-07,{31},{4},1
84,1984-01-14,{},{},0
85,1984-01-21,"{24,25}","{4,5}",2
86,1984-01-28,{},{},0
87,1984-02-04,{},{},0
88,1984-02-11,{44},{4},1
89,1984-02-18,{44},{5},1
90,1984-02-25,"{27,47}","{2,6}",2
91,1984-03-03,{47},{6},1
92,1984-03-10,{},{},0
93,1984-03-17,{28},{3},1
94,1984-03-24,{29},{4},1
95,1984-03-31,{},{},0
96,1984-04-07,{},{},0
97,1984-04-14,{49},{6},1
98,1984-04-21,{16},{3},1
99,1984-04-28,{},{},0
100,1984-05-05,{6},{3},1
101,1984-05-12,{},{},0
102,1984-05-19,{1},{1},1
103,1984-05-26,"{43,45}","{4,5}",2
104,1984-06-02,{},{},0
105,1984-06-09,{},{},0
106,1984-06-16,{45},{6},1
107,1984-06-23,{28},{3},1
108,1984-06-30,{},{},0
109,1984-07-07,{6},{1},1
110,1984-07-14,{},{},0
111,1984-07-21,"{2,37}","{1,5}",2
112,1984-07-28,"{35,38}","{4,6}",2
113,1984-08-04,{10},{2},1
114,1984-08-11,{},{},0
115,1984-08-18,{12},{1},1
116,1984-08-25,{24},{5},1
117,1984-09-01,{},{},0
118,1984-09-08,{43},{6},1
119,1984-09-15,{},{},0
120,1984-09-22,{36},{5},1
121,1984-09-29,{},{},0
122,1984-10-06,{31},{4},1
123,1984-10-13,{},{},0
124,1984-10-20,{5},{1},1
125,1984-10-27,{},{},0
126,1984-11-03,{},{},0
127,1984-11-10,"{22,44,48}","{2,5,6}",3
128,1984-11-17,{49},{6},1
129,1984-11-24,"{30,36}","{2,4}",2
130,1984-12-01,{},{},0
131,1984-12-08,{39},{5},1
132,1984-12-15,{9},{1},1
133,1984-12-22,{},{},0
134,1984-12-29,{},{},0
135,1985-01-05,{},{},0
136,1985-01-12,{},{},0
137,1985-01-19,{47},{6},1
138,1985-01-26,{},{},0
139,1985-02-02,"{5,25}","{1,5}",2
140,1985-02-09,"{24,29}","{4,5}",2
141,1985-02-16,{7},{2},1
142,1985-02-23,"{1,43}","{1,6}",2
143,1985-03-02,"{36,43}","{5,6}",2
144,1985-03-09,{6},{1},1
145,1985-03-16,"{18,33}","{3,5}",2
146,1985-03-23,{31},{3},1
147,1985-03-30,"{8,31}","{1,5}",2
148,1985-04-06,"{41,46}","{5,6}",2
149,1985-04-13,{49},{6},1
150,1985-04-20,"{4,14}","{1,3}",2
151,1985-04-27,"{40,44}","{5,6}",2
152,1985-05-04,{},{},0
153,1985-05-11,{20},{3},1
154,1985-05-18,{39},{4},1
155,1985-05-25,{24},{3},1
156,1985-06-01,{19},{3},1
157,1985-06-08,{27},{4},1
158,1985-06-15,{45},{5},1
159,1985-06-22,{},{},0
160,1985-06-29,{},{},0
161,1985-07-06,{5},{1},1
162,1985-07-13,{},{},0
