"id","ball_num","base_num","subseq_num","frequency"
1,1,1,1,53
2,1,1,2,55
3,1,1,3,48
4,1,1,4,44
5,1,1,5,32
6,1,1,6,20
7,1,1,7,31
8,1,1,8,20
9,1,1,9,15
10,1,1,10,18
11,1,1,11,15
12,1,1,12,23
13,1,1,13,13
14,1,1,14,14
15,1,1,15,12
16,1,1,16,12
17,1,1,17,9
18,1,1,18,5
19,1,1,19,5
20,1,1,20,8
21,1,1,21,3
22,1,1,22,5
23,1,1,23,4
24,1,1,24,2
25,1,1,25,3
26,1,1,26,1
27,1,1,27,1
28,1,1,29,1
29,1,1,31,1
30,1,2,1,52
31,1,2,2,45
32,1,2,3,47
33,1,2,4,36
34,1,2,5,38
35,1,2,6,30
36,1,2,7,19
37,1,2,8,27
38,1,2,9,20
39,1,2,10,19
40,1,2,11,20
41,1,2,12,14
42,1,2,13,12
43,1,2,14,11
44,1,2,15,9
45,1,2,16,4
46,1,2,17,4
47,1,2,18,9
48,1,2,19,7
49,1,2,20,2
50,1,2,21,2
51,1,2,22,4
52,1,2,23,2
53,1,2,24,2
54,1,2,26,1
55,1,2,27,1
56,1,2,30,1
57,1,2,38,1
58,1,3,1,55
59,1,3,2,49
60,1,3,3,42
61,1,3,4,28
62,1,3,5,29
63,1,3,6,30
64,1,3,7,25
65,1,3,8,19
66,1,3,9,15
67,1,3,10,19
68,1,3,11,7
69,1,3,12,10
70,1,3,13,16
71,1,3,14,7
72,1,3,15,11
73,1,3,16,6
74,1,3,17,4
75,1,3,18,5
76,1,3,19,1
77,1,3,20,4
78,1,3,21,2
79,1,3,22,4
80,1,3,23,5
81,1,3,25,2
82,1,3,27,5
83,1,3,28,1
84,1,3,30,1
85,1,4,1,33
86,1,4,2,41
87,1,4,3,33
88,1,4,4,36
89,1,4,5,20
90,1,4,6,24
91,1,4,7,33
92,1,4,8,22
93,1,4,9,18
94,1,4,10,18
95,1,4,11,15
96,1,4,12,18
97,1,4,13,13
98,1,4,14,9
99,1,4,15,6
100,1,4,16,8
101,1,4,17,5
102,1,4,18,5
103,1,4,19,6
104,1,4,20,11
105,1,4,21,3
106,1,4,22,3
107,1,4,23,6
108,1,4,24,1
109,1,4,26,1
110,1,4,31,1
111,1,5,1,24
112,1,5,2,34
113,1,5,3,33
114,1,5,4,35
115,1,5,5,22
116,1,5,6,18
117,1,5,7,13
118,1,5,8,16
119,1,5,9,12
120,1,5,10,12
121,1,5,11,14
122,1,5,12,12
123,1,5,13,8
124,1,5,14,2
125,1,5,15,4
126,1,5,16,7
127,1,5,17,7
128,1,5,18,5
129,1,5,19,1
130,1,5,20,2
131,1,5,21,6
132,1,5,23,2
133,1,5,24,1
134,1,5,25,2
135,1,5,27,1
136,1,5,33,1
137,1,6,1,38
138,1,6,2,27
139,1,6,3,32
140,1,6,4,27
141,1,6,5,19
142,1,6,6,20
143,1,6,7,6
144,1,6,8,13
145,1,6,9,21
146,1,6,10,15
147,1,6,11,4
148,1,6,12,5
149,1,6,13,5
150,1,6,14,8
151,1,6,15,7
152,1,6,16,5
153,1,6,17,4
154,1,6,18,4
155,1,6,19,2
156,1,6,20,3
157,1,6,21,2
158,1,6,22,2
159,1,6,23,1
160,1,6,26,2
161,1,6,28,1
162,1,7,1,33
163,1,7,2,24
164,1,7,3,19
165,1,7,4,28
166,1,7,5,24
167,1,7,6,18
168,1,7,7,13
169,1,7,8,12
170,1,7,9,19
171,1,7,10,8
172,1,7,11,20
173,1,7,12,3
174,1,7,13,6
175,1,7,14,1
176,1,7,15,4
177,1,7,16,5
178,1,7,17,2
179,1,7,19,1
180,1,7,20,1
181,1,7,21,3
182,1,7,22,1
183,1,7,23,3
184,1,7,25,1
